sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Akan,ethnicity_Ewe,ethnicity_Ga/Dangme,ethnicity_Grusi,ethnicity_Guan,ethnicity_Gurma,ethnicity_Mande,ethnicity_Mole-Dagbani,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3,IF_4,IF_5,IF_6,IF_7
1.436135,Akan,richest,111227,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,7.180675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995746234571701
1.436135,Akan,richest,111227,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,7.180675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995746234571701
1.436135,Akan,richer,102196,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
1.436135,Akan,richer,66921,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
1.436135,Akan,richest,136112,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,7.180675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995746234571701
1.436135,Ga/Dangme,middle,32247,6,"western, urban",0,0,1,0,0,0,0,0,0,0,1,0,0,3.0,4.308405,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0007775577840716858,-0.0
1.436135,Akan,middle,32247,6,"western, urban",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,4.308405,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00011566628912256304
1.436135,Akan,middle,32247,6,"western, urban",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,4.308405,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00011566628912256304
1.436135,Akan,richest,154141,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,7.180675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995746234571701
1.436135,Akan,richest,116239,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,7.180675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995746234571701
1.436135,Akan,richest,116239,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,7.180675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995746234571701
1.436135,Akan,richest,140074,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,7.180675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002995746234571701
1.436135,Akan,richer,65336,6,"western, urban",1,0,0,0,0,0,0,0,0,0,0,1,0,4.0,5.74454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.195416716730353e-05
1.436135,Akan,middle,31298,6,"western, urban",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,4.308405,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00011566628912256304
1.334003,Akan,middle,7292,7,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,4.002009,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010744057953351632
1.334003,Akan,middle,20067,7,"western, rural",1,0,0,0,0,0,0,0,0,0,1,0,0,3.0,4.002009,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.00010744057953351632
