sampling_weight_women,ethnicity,wealth_index,wealth_score,PSU,stratum,ethnicity_Amerindian,ethnicity_Black,ethnicity_East Indian,ethnicity_Mixed Race,wealth_poorest,wealth_poorer,wealth_middle,wealth_richer,wealth_richest,q_rank,wy,IF_0,IF_1,IF_2,IF_3
0.132702,Amerindian,poorest,-0.9532283943487556,9.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.132702,-0.00010137212869228959,-0.0,-0.0,-0.0
0.132702,Mixed Race,poorest,-2.348737574526848,9.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.132702,-0.0,-0.00025202874161379295,-0.0,-0.0
0.132702,East Indian,poorest,-1.3953117073495354,9.0,1.0,0,0,1,0,1,0,0,0,0,1.0,0.132702,-0.0,-0.0,-0.00011454306799775507,-0.0
0.132702,Mixed Race,poorest,-1.6110150521179856,9.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.132702,-0.0,-0.00025202874161379295,-0.0,-0.0
0.14534,Mixed Race,poorest,-0.9484678649450736,9.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.14534,-0.0,-0.00027603093627939795,-0.0,-0.0
0.14534,Amerindian,poorest,-1.9304784225333615,9.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.14534,-0.00011102639887972576,-0.0,-0.0,-0.0
0.14534,Amerindian,poorest,-2.7589957556638156,9.0,1.0,1,0,0,0,1,0,0,0,0,1.0,0.14534,-0.00011102639887972576,-0.0,-0.0,-0.0
0.14534,Mixed Race,poorest,-1.6511671356076296,9.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.14534,-0.0,-0.00027603093627939795,-0.0,-0.0
0.14534,Mixed Race,poorest,-1.6511671356076296,9.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.14534,-0.0,-0.00027603093627939795,-0.0,-0.0
0.14534,Mixed Race,poorest,-1.6511671356076296,9.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.14534,-0.0,-0.00027603093627939795,-0.0,-0.0
0.14534,Mixed Race,poorest,-1.8973240623478724,9.0,1.0,0,0,0,1,1,0,0,0,0,1.0,0.14534,-0.0,-0.00027603093627939795,-0.0,-0.0
